name	unit	short_desc	long_desc
zone/Z02/slab_temperature	F	slab temperature, zone Z02 (basement)	Slab temperature for zone Z02 (basement). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z04/slab_temperature	F	slab temperature, zone Z04 (basement)	Slab temperature for zone Z04 (basement). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z11/slab_temperature	F	slab temperature, zone Z11 (1st floor)	Slab temperature for zone Z11 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z12/slab_temperature	F	slab temperature, zone Z12 (1st floor)	Slab temperature for zone Z12 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z13/slab_temperature	F	slab temperature, zone Z13 (1st floor)	Slab temperature for zone Z13 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z14/slab_temperature	F	slab temperature, zone Z14 (1st floor)	Slab temperature for zone Z14 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z15/slab_temperature	F	slab temperature, zone Z15 (1st floor)	Slab temperature for zone Z15 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z16/slab_temperature	F	slab temperature, zone Z16 (1st floor)	Slab temperature for zone Z16 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z17/slab_temperature	F	slab temperature, zone Z17 (1st floor)	Slab temperature for zone Z17 (1st floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z21/slab_temperature	F	slab temperature, zone Z21 (2nd floor)	Slab temperature for zone Z21 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z22/slab_temperature	F	slab temperature, zone Z22 (2nd floor)	Slab temperature for zone Z22 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z23/slab_temperature	F	slab temperature, zone Z23 (2nd floor)	Slab temperature for zone Z23 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z24/slab_temperature	F	slab temperature, zone Z24 (2nd floor)	Slab temperature for zone Z24 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z25/slab_temperature	F	slab temperature, zone Z25 (2nd floor)	Slab temperature for zone Z25 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z26/slab_temperature	F	slab temperature, zone Z26 (2nd floor)	Slab temperature for zone Z26 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z27/slab_temperature	F	slab temperature, zone Z27 (2nd floor)	Slab temperature for zone Z27 (2nd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z31/slab_temperature	F	slab temperature, zone Z31 (3rd floor)	Slab temperature for zone Z31 (3rd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z32/slab_temperature	F	slab temperature, zone Z32 (3rd floor)	Slab temperature for zone Z32 (3rd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z33/slab_temperature	F	slab temperature, zone Z33 (3rd floor)	Slab temperature for zone Z33 (3rd floor). Sensor: Minco S101144 / S469 / S665PDY48BC / S667PDY40BC RTD ribbon (polyimide film with adhesive backing) [sensorinfo, "Slab Temperature" spec sheet] (accuracy ±0.13% [sensorinfo, "Slab Temperature" spec sheet]). 20 [han24, Table 3] sensors total. Missing-data: Y1 3.13%, Y2 0.57%. Installed-system accuracy in [report, Appendix Table A] is ±1°C at 0°C, ±1.5°C across -30–25°C, ±2.5°C across -30–70°C, ±4°C across -30–130°C. Treat as the practical error bar. Correction: [han24] states slab temperature is in °C, but the released CSV values are in the 60–90 range and are clearly Fahrenheit; gen_names.py records the unit as F. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z01/air_temperature	F	zone air temperature, zone Z01 (basement)	Zone air temperature for zone Z01 (basement). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z02/air_temperature	F	zone air temperature, zone Z02 (basement)	Zone air temperature for zone Z02 (basement). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z03/air_temperature	F	zone air temperature, zone Z03 (basement)	Zone air temperature for zone Z03 (basement). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z04/air_temperature	F	zone air temperature, zone Z04 (basement)	Zone air temperature for zone Z04 (basement). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z05/air_temperature	F	zone air temperature, zone Z05 (basement)	Zone air temperature for zone Z05 (basement). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z11/air_temperature	F	zone air temperature, zone Z11 (1st floor)	Zone air temperature for zone Z11 (1st floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z12_Z13/air_temperature	F	zone air temperature, zone Z12_Z13 (1st floor)	Zone air temperature for zone Z12_Z13 (1st floor). Sensor: Siemens PL-Link semi-flush thermistor [sensorinfo, "Room Comfort" spec sheet] (accuracy ±0.45°C, 8–28°C [sensorinfo, "Room Comfort" spec sheet], range 0–50°C). 17 [han24, Table 3] sensors total. Missing-data: Y1 6.92%, Y2 0.19%. Installed-system accuracy in [report, Appendix Table A] is ±1°C over 0–40°C, looser than the thermistor element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
